feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,selected,selection_reason,max_abs_corr_vs_selected,min_train_rank_ic,max_pairwise_corr,fold_id,test_year,prior_universe_size,selected_universe_size
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.020800149561378014,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.007805658514746844,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.003562455729124644,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.0366560860946919,False,dropped_high_corr,0.7351310887758059,0.01,0.7,fold_2019,2019,36,15
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04059277700477453,True,selected,0.46494874965951916,0.01,0.7,fold_2019,2019,36,15
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.018787105497162792,True,selected,0.33864582066752896,0.01,0.7,fold_2019,2019,36,15
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.032945953706791604,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.016382267947289374,True,selected,0.35013700699468203,0.01,0.7,fold_2019,2019,36,15
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.025792059494178312,True,selected,0.31348563718580447,0.01,0.7,fold_2019,2019,36,15
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.014212756919301846,True,selected,0.5173283981418797,0.01,0.7,fold_2019,2019,36,15
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.016303947693368234,True,selected,0.24128724087364087,0.01,0.7,fold_2019,2019,36,15
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.010991569509663533,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.0027102432569876054,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.013900086346306078,True,selected,0.4058069821161521,0.01,0.7,fold_2019,2019,36,15
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.020016453594325925,True,selected,0.31901831498073047,0.01,0.7,fold_2019,2019,36,15
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.010850444674619802,True,selected,0.18604994301522254,0.01,0.7,fold_2019,2019,36,15
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03753604363335872,False,dropped_high_corr,0.7552941798056527,0.01,0.7,fold_2019,2019,36,15
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.0304870468215347,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.03284443235406243,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.0011927924101732264,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.007556133403359056,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.015795463025019586,False,dropped_high_corr,0.7126090503117474,0.01,0.7,fold_2020,2020,36,12
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,0.0006027586977184172,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.02618921185877349,True,selected,0.4592944634249713,0.01,0.7,fold_2020,2020,36,12
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.010591629433931899,True,selected,0.2049689988955558,0.01,0.7,fold_2020,2020,36,12
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.03369048701682548,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
curve_curvature__csz,curve_curvature,predictor,0,1,train_rank_ic,0.0042245336283349,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
value_252__csz,value_252,predictor,1,1,catalog,0.020137585388306515,True,selected,0.42505842246740894,0.01,0.7,fold_2020,2020,36,12
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.003009234162484038,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.015675778185604824,True,selected,0.3734996165894157,0.01,0.7,fold_2020,2020,36,12
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.00701674887330299,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.016802727592248667,True,selected,0.17704409416806213,0.01,0.7,fold_2020,2020,36,12
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.034083032031667716,True,selected,0.46281511071972015,0.01,0.7,fold_2020,2020,36,12
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03025975650818907,False,dropped_high_corr,0.7530121327602134,0.01,0.7,fold_2020,2020,36,12
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.014176304895496667,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.062067519516582334,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.017211477054137336,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,-0.0007571722804147763,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.0009238783402309612,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.028627134124767018,False,dropped_high_corr,0.7350801668983199,0.01,0.7,fold_2020,2020,36,12
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.03641224370917158,True,selected,0.0,0.01,0.7,fold_2020,2020,36,12
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.008759624811077836,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.030457157891843806,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.011254485208601712,True,selected,0.3634531977422074,0.01,0.7,fold_2020,2020,36,12
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.023253021362532447,True,selected,0.32352393146259656,0.01,0.7,fold_2020,2020,36,12
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.01451743235918869,True,selected,0.533428830882397,0.01,0.7,fold_2020,2020,36,12
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.025010830034052356,True,selected,0.1871791428599091,0.01,0.7,fold_2020,2020,36,12
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.016451043470210064,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.007047490338998477,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.009889438321422547,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.014118528780117951,True,selected,0.32229285377933337,0.01,0.7,fold_2020,2020,36,12
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.0073872230521302325,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2020,2020,36,12
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03030845062269325,False,dropped_high_corr,0.7526658456095221,0.01,0.7,fold_2020,2020,36,12
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.018782598466318103,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.022594038519723483,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.006122082374568276,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.000976779523148464,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.028575638710689567,False,dropped_high_corr,0.7288270363208081,0.01,0.7,fold_2021,2021,36,13
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.004133089482493713,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.03407817934722891,True,selected,0.6043446288510171,0.01,0.7,fold_2021,2021,36,13
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.007339938894315505,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.02842504249496289,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.0018886701538910532,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
value_252__csz,value_252,predictor,1,1,catalog,0.020335051787282808,True,selected,0.4046365957055317,0.01,0.7,fold_2021,2021,36,13
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.00801191709039457,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.014571069006475637,True,selected,0.3908266053708669,0.01,0.7,fold_2021,2021,36,13
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.011311125432962,False,dropped_high_corr,0.7000048403194742,0.01,0.7,fold_2021,2021,36,13
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.018327903265319585,True,selected,0.18851400012304595,0.01,0.7,fold_2021,2021,36,13
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.038755403050677456,False,dropped_high_corr,0.7546932577722189,0.01,0.7,fold_2021,2021,36,13
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03994815477591131,False,dropped_high_corr,0.9995153121855385,0.01,0.7,fold_2021,2021,36,13
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.00706100971940609,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.03531734447240563,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.010237656914306099,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.0038534373196934227,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.005892893309048622,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.03842474170943954,False,dropped_high_corr,0.9726412179403218,0.01,0.7,fold_2021,2021,36,13
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04277447165789398,True,selected,0.0,0.01,0.7,fold_2021,2021,36,13
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.010935109797634486,True,selected,0.35112073803694716,0.01,0.7,fold_2021,2021,36,13
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.019064477176898898,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.019269175108799434,True,selected,0.3562449685677322,0.01,0.7,fold_2021,2021,36,13
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.03470921318662121,True,selected,0.504968604261406,0.01,0.7,fold_2021,2021,36,13
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.015310380211460311,True,selected,0.5494142311201654,0.01,0.7,fold_2021,2021,36,13
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.021987415869406383,True,selected,0.23392859039377156,0.01,0.7,fold_2021,2021,36,13
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.005962147569796725,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.00867083492544265,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.01744055867739405,True,selected,0.38250726512381245,0.01,0.7,fold_2021,2021,36,13
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.014803281673091001,True,selected,0.3218799441255308,0.01,0.7,fold_2021,2021,36,13
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.00718640002192,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2021,2021,36,13
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03998048108987522,True,selected,0.5962869719792774,0.01,0.7,fold_2021,2021,36,13
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.0216957623613365,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.025475402418724216,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.007955849283817562,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.005844082486045067,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.02515892956268215,False,dropped_high_corr,0.7326145767165664,0.01,0.7,fold_2022,2022,36,12
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.0037466565858899075,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.029612968454991367,True,selected,0.4520390249317432,0.01,0.7,fold_2022,2022,36,12
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.009296367155944086,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.023718391587767198,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.006248559088138278,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
value_252__csz,value_252,predictor,1,1,catalog,0.024492099686385486,True,selected,0.4203283976548833,0.01,0.7,fold_2022,2022,36,12
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.008193593674733737,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.014621142904217552,True,selected,0.36534917615586404,0.01,0.7,fold_2022,2022,36,12
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.008802689937680915,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.012309595715059449,True,selected,0.3790434292711465,0.01,0.7,fold_2022,2022,36,12
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.03596412254002334,True,selected,0.4464494750486694,0.01,0.7,fold_2022,2022,36,12
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03588351195270226,False,dropped_high_corr,0.7240263775393608,0.01,0.7,fold_2022,2022,36,12
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.006406872253012147,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.020812990934055753,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.008290023988388002,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.0020641713146360356,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.0072774620852350735,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.03554316772244577,False,dropped_high_corr,0.706303944731941,0.01,0.7,fold_2022,2022,36,12
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04090511270920501,True,selected,0.0,0.01,0.7,fold_2022,2022,36,12
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.00936352388697477,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.021962515249482173,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.017361937496909705,True,selected,0.3494753478219554,0.01,0.7,fold_2022,2022,36,12
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.027850815018842692,True,selected,0.33307907500612305,0.01,0.7,fold_2022,2022,36,12
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.016222750777366037,True,selected,0.5673008862246823,0.01,0.7,fold_2022,2022,36,12
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.022977298446000737,True,selected,0.22960535862077652,0.01,0.7,fold_2022,2022,36,12
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.005514898458997827,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.008008235785534982,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.016526754940474436,True,selected,0.1801846963727225,0.01,0.7,fold_2022,2022,36,12
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.010197119780902217,True,selected,0.3213180534114548,0.01,0.7,fold_2022,2022,36,12
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,1,train_rank_ic,0.0011349212439643493,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2022,2022,36,12
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.035848692629145806,False,dropped_high_corr,0.7237237672346364,0.01,0.7,fold_2022,2022,36,12
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.01854257490184449,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.02059105976795663,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.004928534196691509,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.008068202778321229,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.02252073049214836,False,dropped_high_corr,0.7351141780348535,0.01,0.7,fold_2023,2023,36,13
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.004718607659466008,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.031113882563732872,True,selected,0.5983449482332824,0.01,0.7,fold_2023,2023,36,13
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.005932868360511249,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.015886410809832847,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.005529864798536678,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
value_252__csz,value_252,predictor,1,1,catalog,0.021715634582644822,True,selected,0.4076606348366062,0.01,0.7,fold_2023,2023,36,13
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.010802322989191147,True,selected,0.3029771711683899,0.01,0.7,fold_2023,2023,36,13
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.008666549975275524,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.01075339342989825,True,selected,0.6911421366127349,0.01,0.7,fold_2023,2023,36,13
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.009627397971984024,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.03387733027082501,False,dropped_high_corr,0.7167408932220632,0.01,0.7,fold_2023,2023,36,13
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.035418175362420666,True,selected,0.60272344617205,0.01,0.7,fold_2023,2023,36,13
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.009041595897290283,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.022274577207449325,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.00510043341944523,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.006164432762190827,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.010009797469285202,True,selected,0.3643178630542022,0.01,0.7,fold_2023,2023,36,13
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.034834804058526944,False,dropped_high_corr,0.9691897553046109,0.01,0.7,fold_2023,2023,36,13
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.03890389299029621,True,selected,0.0,0.01,0.7,fold_2023,2023,36,13
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.009597311490011003,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.018593737863555785,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2023,2023,36,13
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.01314728351673238,True,selected,0.34988471157033557,0.01,0.7,fold_2023,2023,36,13
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.02848648546360981,True,selected,0.502784757473613,0.01,0.7,fold_2023,2023,36,13
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.012665286569838882,True,selected,0.5768338962731697,0.01,0.7,fold_2023,2023,36,13
